"","country","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8","neighbor9","neighbor10","neighbor11","neighbor12","neighbor13","neighbor14","boundaries.data.ISO_N3","boundaries.data.WB_A3"
"69","Guinea","Ivory Coast","Guinea Bissau","Liberia","Mali","Senegal","Sierra Leone","NA","NA","NA","NA","NA","NA","NA","NA","324","GIN"
"70","Gambia","Senegal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","270","GMB"
"71","Guinea Bissau","Guinea","Senegal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","624","GNB"
"72","Equatorial Guinea","Cameroon","Gabon","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","226","GNQ"
"73","Greece","Albania","Bulgaria","Macedonia","Turkey","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","300","GRC"
"74","Grenada","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","308","GRD"
"75","Guatemala","Belize","Honduras","Mexico","El Salvador","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","320","GTM"
"76","Guyana","Brazil","Suriname","Venezuela","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","328","GUY"
"77","Honduras","Guatemala","Nicaragua","El Salvador","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","340","HND"
"78","Croatia","Bosnia and Herzegovina","Hungary","Montenegro","Republic of Serbia","Slovenia","NA","NA","NA","NA","NA","NA","NA","NA","NA","191","HRV"
"79","Haiti","Dominican Republic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","332","HTI"
"80","Hungary","Austria","Croatia","Romania","Slovakia","Slovenia","Ukraine","NA","NA","NA","NA","NA","NA","NA","NA","348","HUN"
"81","Indonesia","Malaysia","Papua New Guinea","East Timor","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","360","IDN"
"82","India","Bangladesh","Bhutan","China","Kashmir","Myanmar","Pakistan","NA","NA","NA","NA","NA","NA","NA","NA","356","IND"
"83","Ireland","United Kingdom","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","372","IRL"
"84","Iran","Afghanistan","Armenia","Azerbaijan","Iraq","Pakistan","Turkmenistan","Turkey","NA","NA","NA","NA","NA","NA","NA","364","IRN"
"85","Iraq","Iran","Jordan","Kuwait","Saudi Arabia","Syria","Turkey","NA","NA","NA","NA","NA","NA","NA","NA","368","IRQ"
"86","Israel","Egypt","Jordan","Lebanon","Syria","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"87","Iceland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","352","ISL"
"88","Italy","Austria","Switzerland","France","San Marino","Slovenia","Vatican","NA","NA","NA","NA","NA","NA","NA","NA","380","ITA"
"89","Jamaica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","388","JAM"
"90","Jordan","Iraq","Israel","Saudi Arabia","Syria","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","400","JOR"
"91","Japan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","392","JPN"
"92","Kashmir","India","Pakistan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"93","Kazakhstan","China","Kyrgyzstan","Russia","Turkmenistan","Uzbekistan","NA","NA","NA","NA","NA","NA","NA","NA","NA","398","KAZ"
"94","Kenya","Ethiopia","South Sudan","Somalia","United Republic of Tanzania","Uganda","NA","NA","NA","NA","NA","NA","NA","NA","NA","404","KEN"
"95","Kyrgyzstan","China","Kazakhstan","Tajikistan","Uzbekistan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","417","KGZ"
"96","Cambodia","Laos","Thailand","Vietnam","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","116","KHM"
"97","Kiribati","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","296","KIR"
"98","Saint Kitts and Nevis","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","659","KNA"
"99","South Korea","North Korea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","410","KOR"
"100","Kosovo","Albania","Macedonia","Montenegro","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","KSV"
"101","Kuwait","Iraq","Saudi Arabia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","414","KWT"
"102","Laos","China","Cambodia","Myanmar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","418","LAO"
"103","Lebanon","Israel","Syria","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","422","LBN"
"104","Liberia","Ivory Coast","Guinea","Sierra Leone","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","430","LBR"
"105","Libya","Algeria","Egypt","Niger","Sudan","Chad","Tunisia","NA","NA","NA","NA","NA","NA","NA","NA","434","LBY"
"106","Saint Lucia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","662","LCA"
"107","Liechtenstein","Austria","Switzerland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","438","LIE"
"108","Sri Lanka","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","144","LKA"
"109","Lesotho","South Africa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","426","LSO"
"110","Lithuania","Latvia","Poland","Russia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","440","LTU"
"111","Luxembourg","Belgium","Germany","France","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","442","LUX"
"112","Latvia","Belarus","Estonia","Lithuania","Russia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","428","LVA"
"113","Morocco","Algeria","Spain","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","504","MAR"
"114","Monaco","France","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","492","MCO"
"115","Moldova","Romania","Ukraine","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","498","MDA"
"116","Madagascar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","450","MDG"
"117","Maldives","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","462","MDV"
"118","Mexico","Belize","Guatemala","United States of America","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","484","MEX"
"119","Marshall Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","584","MHL"
"120","Macedonia","Albania","Bulgaria","Greece","Kosovo","Republic of Serbia","NA","NA","NA","NA","NA","NA","NA","NA","NA","807","MKD"
"121","Mali","Burkina Faso","Ivory Coast","Algeria","Guinea","Mauritania","Niger","Senegal","NA","NA","NA","NA","NA","NA","NA","466","MLI"
"122","Malta","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","470","MLT"
"123","Myanmar","Bangladesh","China","India","Laos","Thailand","NA","NA","NA","NA","NA","NA","NA","NA","NA","104","MMR"
"124","Montenegro","Albania","Bosnia and Herzegovina","Croatia","Kosovo","Republic of Serbia","NA","NA","NA","NA","NA","NA","NA","NA","NA","499","MNE"
"125","Mongolia","China","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","496","MNG"
"126","Mozambique","Malawi","Swaziland","United Republic of Tanzania","South Africa","Zambia","Zimbabwe","NA","NA","NA","NA","NA","NA","NA","NA","508","MOZ"
"127","Mauritania","Algeria","Mali","Western Sahara","Senegal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","478","MRT"
"128","Mauritius","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","480","MUS"
"129","Malawi","Mozambique","United Republic of Tanzania","Zambia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","454","MWI"
"130","Malaysia","Brunei","Indonesia","Thailand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","458","MYS"
"131","Namibia","Botswana","Zambia","Zimbabwe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","516","NAM"
"132","Niger","Benin","Burkina Faso","Algeria","Libya","Mali","Nigeria","Chad","NA","NA","NA","NA","NA","NA","NA","562","NER"
"133","Nigeria","Benin","Cameroon","Niger","Chad","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","566","NGA"
"134","Nicaragua","Costa Rica","Honduras","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","558","NIC"
"135","Netherlands","Belgium","Germany","France","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
